Ort	Geo	Datum	Getty	Symbol	Gender
Bornheim	50.75759,6.987414	1885	1038605	Priesterhände	unbekannt
Chemnitz	50.828331,12.889473	1885	7005951	Magen David	beide
Dillingen-Diefflen	49.369234,6.753313	1885	1038818	Magen David	Mann
Erfurt	50.957207,11.038496	1885	7024031	Magen David	Frau
Haigerloch	48.36392,8.807413	1885	1039436	Buch	Mann
Krefeld (alter Friedhof)	51.316734,6.55169	1885	7005980	Magen David	unbekannt
Laupheim	48.231932,9.884036	1885	1040058	Levitenkanne	Mann
Würzburg - Heidingsfeld	49.763329,9.943251	1885	7004335	Vanitas-Symbol	Frau
Bad Münstereifel	50.557018,6.767275	1886	7012589	Magen David	Mann
Haigerloch	48.36392,8.807413	1886	1039436	Buch	Frau
Korschenbroich	51.154744,6.503791	1886	1039924	Levitenkanne	Mann
Laupheim	48.231932,9.884036	1886	1040058	Bundestafeln	Frau
Mönchengladbach	51.188645,6.428684	1886	7004975	Vanitas-Symbol	Frau
Viersen-Dülken	51.25892,6.343853	1886	1038742	Magen David	Frau
Bayreuth	49.934064,11.594224	1887	7004326	Levitenkanne	Mann
Chemnitz	50.828331,12.889473	1887	7005951	Magen David	Frau
Haigerloch	48.36392,8.807413	1887	1039436	Stern	Mann
Krefeld (alter Friedhof)	51.316734,6.55169	1887	7005980	Priesterhände	unbekannt
Mönchengladbach	51.188645,6.428684	1887	7004975	Magen David	Mann
Mönchengladbach	51.188645,6.428684	1887	7004975	Magen David	Mann
Tholey	49.49018,7.044039	1887	1041416	Priesterhände	Mann
Altena	51.304016,7.671876	1888	7006098	Priesterhände	Mann
Bayreuth	49.934064,11.594224	1888	7004326	Priesterhände	Mann
Chemnitz	50.828331,12.889473	1888	7005951	Magen David	Mann
Erfurt	50.957207,11.038496	1888	7024031	Vanitas-Symbol	Mann
Erfurt	50.957207,11.038496	1888	7024031	Vanitas-Symbol	Frau
Haigerloch	48.36392,8.807413	1888	1039436	Buch	Frau
Korschenbroich-Glehn	51.172194,6.56727	1888	1039277	Levitenkanne	Mann
Krefeld (alter Friedhof)	51.316734,6.55169	1888	7005980	Bundestafeln	unbekannt
Krefeld (alter Friedhof)	51.316734,6.55169	1888	7005980	Schmetterling	unbekannt
Oranienburg	52.750548,13.228051	1888	1037432	Magen David	Frau
St. Ingbert	49.285286,7.115439	1888	7012691	Priesterhände	Mann
