Ort	Geo	Datum	Getty	Symbol	Gender
Siegburg	50.801352,7.203499	1906	7005104	Priesterhände	Mann
Sondershausen	51.360182,10.869193	1906	1037748	Magen David	beide
Altena	51.304016,7.671876	1907	7006098	Levitenkanne	beide
Bayreuth	49.934064,11.594224	1907	7004326	Magen David	Frau
Bingen	49.962935,7.89771	1907	7012309	Priesterhände	Mann
Bornheim	50.75759,6.987414	1907	1038605	Magen David	unbekannt
Brühl	50.83361,6.907039	1907	7012417	Magen David	beide
Chemnitz	50.828331,12.889473	1907	7005951	Auge	Mann
Chemnitz	50.828331,12.889473	1907	7005951	Magen David	Frau
Chemnitz	50.828331,12.889473	1907	7005951	Magen David	Frau
